review_id,date,city,platform,category,brand,delivery_time,order_context,raw_text,star_rating,cart_value_inr,surge_fee_paid
c2d3e4f5-a6b7-4c8d-9e0f-1a2b3c4d5e6f,20/08/2025,Mumbai,Blinkit,Ice Cream,Magnum,40,Mumbai Monsoon,Total melt scene. Mumbai Monsoon me Magnum shakes ban gaya in 40 mins. Ekdum kachra.,2,480,False
e9f8d7c6-b5a4-4e3d-2c1b-0a9f8e7d6c5b,08/11/2025,Delhi,Zepto,Snacking,Lays,11,House Party Kalesh,Bhai house party saved! Lays reached in 11 mins flat. Systumm set hai ekdum.,5,1200,False
a4b5c6d7-e8f9-4a0b-1c2d-3e4f5a6b7c8d,19/02/2025,Bangalore,BigBasket Now,Home Care,Surf Excel,65,Silk Board Jam,Adjust maadi? 65 mins for Surf Excel is too much guru. Surge fee wasting only.,1,450,True
d7c8b9a0-f1e2-4d3c-4b5a-6f7e8d9c0b1a,28/05/2025,Pune,Snacking,Kurkure,10,FC Road Shopping Break,Naad khula delivery! 10 mins and Kurkure in hand while waiting for bus. Solid work.,5,150,False
f6e5d4c3-b2a1-4f0e-9d8c-7b6a5e4d3c2b,03/07/2025,Hyderabad,Zepto,Personal Care,Dove,50,IT Raid Scenario,Baigan service. Surge fee taken and 50 mins wait for Dove? Poti panna timing is this.,1,350,True
b1a2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,14/03/2025,Bangalore,Blinkit,Ice Cream,Kwality Wall's,13,Pre-Standup Breakfast,Sakkath fast delivery before my 9AM standup. Kwality Wall's reached Indiranagar in 13 mins.,5,550,False
d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,10/12/2025,Delhi,Swiggy Instamart,Personal Care,Pepsodent,45,Delhi Smog,Oye kalesh ho gaya delivery me. 45 mins wait after surge fee? Bhai scam hai ye platform.,2,210,True
c9d0e1f2-a3b4-4c5d-6e7f-8a9b0c1d2e3f,02/06/2025,Mumbai,BigBasket Now,Snacking,Lays,10,Late Night Marine Drive,Fatafat delivery near Marine Drive. Lays was crispy and fresh. Ek number vibe!,5,250,False
a7b8c9d0-e1f2-4a3b-4c5d-6e7f8a9b0c1d,21/04/2025,Pune,Home Care,Vim,12,Hinjewadi Commute,Vishesh speed in Hinjewadi traffic. Vim reached office PG in 12 mins. Bhaari!,5,180,False
e2f3a4b5-c6d7-4e8f-9a0b-1c2d3e4f5a6b,11/07/2025,Mumbai,Zepto,Ice Cream,Magnum,32,Mumbai Monsoon,Magnum is now Magnum milk. 32 mins in Mumbai Monsoon delay. Khali-pili waste.,2,450,False
b9c0d1e2-f3a4-4b5c-6d7e-8f9a0b1c2d3e,15/09/2025,Hyderabad,Blinkit,Snacking,Maggi,10,Biryani Side-hustle,Kirak fast! Needed Maggi for a quick snack while cooking Biryani. Hau delivery!,5,160,False
d6e7f8a9-b0c1-4d2e-3f4a-5b6c7d8e9f0a,05/11/2025,Bangalore,Swiggy Instamart,Home Care,Surf Excel,48,HSR Layout Rush,Macha 48 mins wait and surge fee extra? HSR traffic is bad but platform is worse.,2,600,True
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,29/08/2025,Delhi,Zepto,Personal Care,Dove,11,Gurgaon Office Lunch,Systumm! Dove reached Gurgaon office before my lunch break ended. Gazab delivery.,5,420,False
c4d5e6f7-a8b9-4c0d-1e2f-3a4b5c6d7e8f,17/01/2025,Pune,Snacking,Kurkure,70,Peth Rush,Solid delay of 70 mins and charged surge also. Kantaala aa gaya Blinkit pe.,1,200,True
f9e8d7c6-b5a4-4f3e-2d1c-0b9a8f7e6d5c,12/10/2025,Mumbai,Blinkit,Home Care,Vim,14,Ganpati Prep,Vim reached fatafat during Ganpati cleaning. Paisa vasool and ek number timing.,5,300,False
b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,08/05/2025,Hyderabad,Swiggy Instamart,Ice Cream,Magnum,12,Summer Heat,Zabardast cooling! Magnum reached perfectly in 12 mins. Hyderabad heat is no match.,5,950,False
d5e6f7a8-b9c0-4d1e-2f3a-4b5c6d7e8f9a,16/06/2025,Bangalore,Zepto,Snacking,Maggi,10,Indiranagar Party,Maggi reached in 10 mins flat. Sakkath delivery for our Indiranagar house party!,5,220,False
a8b9c0d1-e2f3-4a4b-5c6d-7e8f9a0b1c2d,24/11/2025,Delhi,BigBasket Now,Home Care,Surf Excel,55,Late Night Kalesh,Bhai 55 mins for Surf Excel with surge? System hang ho gaya platform ka. Bakwas.,1,550,True
c1d2e3f4-a5b6-4c7d-8e9f-0a1b2c3d4e5f,02/09/2025,Pune,Personal Care,Pepsodent,13,Viman Nagar Student Party,Naad khula speed. Pepsodent reached Viman Nagar PG in 13 mins. Bhaari!,5,160,False
e4f5a6b7-c8d9-4e0f-1a2b-3c4d5e6f7a8b,19/07/2025,Mumbai,Swiggy Instamart,Ice Cream,Kwality Wall's,38,Mumbai Monsoon,Full melt scene in Mumbai Monsoon. Kwality Wall's is liquid now. Khali-pili waste of 38 mins.,2,350,False
b7c8d9e0-f1a2-4b3c-4d5e-6f7a8b9c0d1e,10/01/2025,Hyderabad,Zepto,Snacking,Lays,9,Charminar Visit Prep,Hau 9 mins only! Lays reached before we left for Charminar. Kirak service.,5,200,False
d2e3f4a5-b6c7-4d8e-9f0a-1b2c3d4e5f6a,07/04/2025,Bangalore,Blinkit,Personal Care,Dove,50,Silk Board Jam,Simply waste 50 mins and surge fee? Macha HSR scene is better than this delivery.,1,380,True
a5b6c7d8-e9f0-4a1b-2c3d-4e5f6a7b8c9d,14/11/2025,Delhi,Swiggy Instamart,Snacking,Maggi,12,IPL at Kotla,Oye hoye swaad! Maggi delivered in 12 mins during the match. Gazab speed bhai.,5,180,False
c8d9e0f1-a2b3-4c4d-5e6f-7a8b9c0d1e2f,30/03/2025,Pune,Home Care,Surf Excel,14,FC Road Shopping Break,Vishesh timing on FC road. Surf Excel reached in 14 mins. Bhaari delivery!,5,670,False
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a5b,28/07/2025,Mumbai,Zepto,Snacking,Kurkure,45,Mumbai Monsoon,Paid surge fee and 45 mins for Kurkure? Public pagal hai kya platform is slow.,2,190,True
b4c5d6e7-f8a9-4b0c-1d2e-3f4a5b6c7d8e,13/05/2025,Hyderabad,BigBasket Now,Personal Care,Pepsodent,10,Banjara Hills Guest,Kirak delivery to Banjara Hills. Pepsodent reached in 10 mins. Zabardast speed.,5,150,False
d9a0b1c2-d3e4-4f5a-6b7c-8d9e0f1a2b3c,05/10/2025,Bangalore,Zepto,Ice Cream,Magnum,15,Indiranagar Party,Macha 15 mins and Magnum was chilled. Sakkath service for Indiranagar folks.,5,450,False
a2b3c4d5-e6f7-4a8b-9c0d-1e2f3a4b5c6d,19/08/2025,Mumbai,Swiggy Instamart,Snacking,Lays,55,Mumbai Monsoon,55 mins and surge fee for Lays? Mumbai rains are bad but this is kachra service.,1,250,True
c5d6e7f8-a9b0-4c1d-2e3f-4a5b6c7d8e9f,11/03/2025,Delhi,Blinkit,Snacking,Kurkure,10,House Party Kalesh,Bhai 10 mins flat. Kurkure saved the kalesh scene at home. Systumm set!,5,340,False
e8f9a0b1-c2d3-4e4f-5a6b-7c8d9e0f1a2b,22/06/2025,Pune,Home Care,Vim,12,Hinjewadi Commute,Naad khula speed in traffic. Vim reached in 12 mins. Solid Pune service.,5,180,False
b1c2d3e4-f5a6-4b7c-8d9e-0f1a2b3c4d5e,14/07/2025,Mumbai,Zepto,Ice Cream,Kwality Wall's,33,Mumbai Monsoon,Kwality Wall's is now water. 33 mins in Mumbai Monsoon is too late. Khali-pili loss.,2,400,False
d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,05/01/2025,Hyderabad,Blinkit,Snacking,Maggi,9,Gachibowli Power Cut,Hau 9 mins delivery during power cut. Maggi was the savior. Kirak timing!,5,120,False
