event_year,country,source,raw_text,primary_topic,sentiment_score,truth_audit,x,y,z,cluster_id
2025,India,Steel Ministry Briefing,Government mandates domestic steel users to source minimum 40% of inputs locally in response to US trade barriers.,Trade,0.1,"If implemented, such a mandate by the Indian government in 2025 would likely be viewed by the US as a non-tariff barrier inconsistent with WTO principles, potentially leading to retaliatory measures.",12.088532,5.2578397,6.971896,1
2025,India,Foreign Policy Journal,Analysts debate whether India's continued engagement with Russia on energy sources is an act of strategic pragmatism or diplomatic isolation risk.,Energy,0.1,"In 2025, India's pragmatic energy diversification strategy, heavily involving Russian imports, will remain a defining geopolitical balancing act despite Western pressure.",12.194567,4.5465837,8.627488,2
2025,India,CNBC-TV18,Major Indian auto manufacturers announce relocation plans for certain sub-assemblies away from threatened US supply chains.,Trade,0.3,This action aligns with India's ongoing push for 'Make in India' initiatives and supply chain diversification amid potential US-China trade friction.,12.216088,5.0545144,7.8821106,-1
2025,India,Financial Express,"EU delegation visits New Delhi focused on digital trade protocols, seen as a clear pivot by Europe to solidify economic ties amidst US friction.",Trade,0.65,"A continued focus on digital trade and deepening economic ties between the EU and India remains highly probable in 2025, irrespective of minor geopolitical fluctuations.",12.151567,3.8615017,8.441292,2
2025,India,Livemint,Public sentiment polls show majority support for government's balanced approach: standing firm on sovereignty while seeking diverse trade partners.,Trade,0.85,"This statement is highly plausible, aligning with India's consistent foreign policy of strategic autonomy and active economic diversification initiatives.",11.029175,5.3261485,6.937781,1
2025,India,Defense News Asia,"India finalizes procurement contract for advanced Russian defense systems, prioritizing established supply lines over potential US sanctions risk.",Security,0.7,"This scenario accurately reflects India's ongoing strategic autonomy, balancing historical defense procurement ties with Russia against potential US sanctions risks in 2025.",12.5025,4.747049,8.769405,2
2025,India,Ministry of External Affairs,MEA spokesperson reaffirms India's commitment to multilateralism but stresses that trade decisions will always prioritize national economic interest over external coercion.,Trade,0.7,"This statement accurately reflects India's consistent strategic autonomy and self-interest-driven approach to global trade and diplomacy in 2025, prioritizing domestic economic stability and growth above external pressures.",11.959433,4.3179183,8.04894,2
2025,India,Deccan Chronicle,Reports surface of increased Iranian oil import via indirect channels to circumvent potential secondary US sanctions related to Russian dependency.,Energy,-0.25,"India in 2025 would view these reports as highly plausible, reflecting its persistent need for energy security and adeptness at navigating complex sanction landscapes.",11.950371,4.962557,8.870295,2
2025,India,The Print,Lobbying efforts intensify in Brussels as Indian industries seek 'preferential partner' status ahead of the final EU-India FTA ratification.,Trade,0.6,India's strategic push for 'preferential partner' status and enhanced trade agreements with key global blocs like the EU is an ongoing and highly relevant objective for 2025.,12.157297,3.6699173,8.053611,2
2025,India,Global Trade Watch,Analysis indicates that the 50% US reciprocal tariff has already cost Indian IT exporters an estimated $3.5 billion in Q1 2025 revenue.,Trade,-0.85,The premise of a 50% US reciprocal tariff on Indian IT exports by Q1 2025 is highly improbable and not aligned with current or projected US-India trade relations.,12.620252,4.3027716,7.1412315,2
2025,India,Economic Times Intelligence Group,Investment advisory flags increased political risk premium for businesses heavily exposed to US market access due to ongoing tariff disputes.,Trade,-0.7,"For India in 2025, while not always the primary target, global tariff disputes impacting US market access indeed pose a relevant political risk premium for Indian businesses exposed to the American market.",12.034769,4.788174,6.2157874,-1
2025,India,Times of India,"Parliament debates emergency measures to support domestic manufacturers impacted by US steel friction, including state subsidies.",Trade,-0.3,This scenario of parliamentary debate over emergency measures and state subsidies to counter foreign trade friction is highly plausible for India in 2025 given ongoing global trade dynamics and historical US trade actions.,11.708082,5.5990567,7.088484,1
2025,India,Eurasia Review,New Delhi subtly enhances coordination with BRICS+ members on de-dollarization mechanisms as a hedge against Western trade punitive actions.,Trade,0.4,"This statement is highly plausible, as India consistently seeks strategic autonomy and diversification of economic dependencies, especially within multilateral frameworks like BRICS+.",12.523128,4.152475,8.511025,2
